id,TimeOfStop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,PersonalInjury,ProperyDamage,Fatal,CommercialLicense,HAZMAT,CommercialVehicle,Alcohol,WorkZOne,State,VehicleType,Year,Make,Model,Color,Charge,Article,ContributedToAccident,Race,Gender,DriverCity,DriverState,DLState,ArrestType,Geolocation,Citation
1185,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,16325 NEW HAMPSHIRE AVE,39.12467167,-76.989135,No,No,No,No,No,No,No,No,No,No,MD,08 - Recreational Vehicle,1999,DODG,VN,GRAY,21-801,Transportation Article,No,BLACK,M,LAKELAND,FL,FL,A - Marked Patrol,,Yes
1186,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,COPLEY PLACE  CROWN PLAZA AVE,39.1141,-77.20390667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,CHEVROLET,MALIBU 4D,BLUE DARK,13-409,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,,No
1187,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,MONTROSE ROAD  FARM POST,39.05540667,-77.14777833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,VOLKS,GTI,GRAY,13-411,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,B - Unmarked Patrol,,Yes
1188,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 30 MPH ZONE,SB N FREDERICK AVE AT CHESTNUT ST,39.134175,-77.19036833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,TOYOTA,RAV4,RED,21-801.1,Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,R - Unmarked Laser,,Yes
1189,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ROSEMARY CIR  ROSEMARY ST,-77.07844167,38.977695,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2010,HOND,CRV,BRONZE,21-201,Transportation Article,No,WHITE,F,ROCKVILLE,MD,MD,B - Unmarked Patrol,,No
1190,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,CENTURY BLVD  AIRCRAFT DR,39.18344667,-77.26236,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BMW,535XI 4S,BLACK,13-401,Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,,Yes
1191,00:00:00,MCP,Headquarters and Special Operations,STOP LIGHTS ,DARNESTOWN RD  GERMANTOWN RD,39.109535,-77.30299,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,HYUN,SONATA,GRAY,64*,,No,WHITE,M,POOLESVILLE,MD,MD,A - Marked Patrol,,No
1193,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,GEORGIA AVE  SPRING ST,38.99890833,-77.03122833,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2006,JEEP,SU,SILVER,13-411,Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,B - Unmarked Patrol,,No
1194,00:00:00,MCP,Headquarters and Special Operations,FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,SCENERY DR  MIDDLEBROOK RD,39.18178833,-77.23194333,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2006,TOYT,VAN   SIENNA,GRAY,22-412.2,Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,O - Foot Patrol,,Yes
1196,00:00:00,MCP,Headquarters and Special Operations,HEADLIGHTS ,GEORGIA  WELLER,-77.06061167,39.06646167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1987,NISS,2S,RED,55*,,No,BLACK,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,,No
1197,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STOP SIGN LINE,FATHER HURLEY  OBSERVATION,39.20441667,-77.24660833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HONDA,ACCORD,WHITE,21-707,Transportation Article,No,HISPANIC,M,NORTH POTOMAC,MD,MD,B - Unmarked Patrol,,No
1198,00:00:00,MCP,Headquarters and Special Operations,OPERATOR NOT RESTRAINED BY SEATBELT,RICHTER FARM RD EB  SCHAEFFER RD,39.15279,-77.29653333,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007,HINO,TK,WHITE,22-412.3,Transportation Article,No,HISPANIC,M,ALEXANDRIA,VA,VA,O - Foot Patrol,,Yes
1199,00:00:00,MCP,Headquarters and Special Operations,HEADLIGHTS ,SB NEW HAMPSHIRE AVE   RANDOLPH RD,39.093255,-77.082425,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,HOND,4S,BLACK,55*,,No,BLACK,M,OLNEY,MD,MD,A - Marked Patrol,,No
1200,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,124  GREAT SENECA HWY,39.127895,-77.23721833,No,No,No,No,No,No,No,No,No,No,GA,02 - Automobile,1988,ISUZ,RODEO,GREEN,16-116,Transportation Article,No,BLACK,M,KENNESAW,GA,GA,A - Marked Patrol,,No
1201,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,FIELDS RD  RIO BLVD,39.11610167,-77.20325,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,TOYOTA,RAV4,WHITE,13-409,Transportation Article,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,B - Unmarked Patrol,,Yes
1202,00:00:00,MCP,Headquarters and Special Operations,DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,MID COUNTY HWY WASHINGTON GROVE,39.14555833,-77.16621833,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2000,CHEV,3500HD,WHITE,11-391.41,Maryland Rules,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,No
1203,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STOP SIGN LINE,LELANDEAST,38.982605,-77.08660333,No,Yes,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,2014,BMW,MC,SILVER,21-707,Transportation Article,No,HISPANIC,M,CHEVY CHASE,MD,MD,B - Unmarked Patrol,,No
1204,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,SB NEW HAMPSHIRE  495,39.01625667,-76.97756167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,JEEP,LAREDO,MAROON,13-401,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
1205,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,124  FIRSTFIELD RD,39.14552833,-77.21990667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HYUN,2D,BLACK,13-411,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,No
1206,00:00:00,MCP,Headquarters and Special Operations,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,GEORGIA AVENUE  ASPEN HILL,39.05838167,-77.04803167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,4D,SILVER,21-902,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,,Yes
1209,00:00:00,MCP,Headquarters and Special Operations,STOPPING STANDING PARKING VEH. WHERE PROHIBITED BY OFFICIAL SIGN,UNIVERSITY AND BRUNETTE AVE,-76.98643333,39.04641333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,TOYOTA,CAMRY,WHITE,21-1003,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
1210,00:00:00,MCP,Headquarters and Special Operations,DRIVER CHANGING LANES WHEN UNSAFE,SHADY GROVE RD  RESEARCH BLVD,39.104105,-77.19066833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,JEEP,TK,SILVER,21-309,Transportation Article,No,WHITE,F,MONTGOMERY VILLAGE,MD,MD,B - Unmarked Patrol,,No
1211,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,SB GEORGIA AVE  VEIRS MILL RD,39.03510667,-77.04971833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,SUBARU,STI,GRAY,21-801.1,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,,No
1212,00:00:00,MCP,Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106 26-204 26-206 27-103,FIELDS RD  SHELBOURNE TERRACE,39.11618167,-77.204495,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,HONDA,CRV,RED,16-303,Transportation Article,No,ASIAN,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,Yes
1213,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,200-BLK ALLIED PLACE,39.15101333,-77.19143833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BMW,2D,BLACK,13-411,Transportation Article,No,ASIAN,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,,No
1214,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,ODENDHAL AVE  RUSSELL AVE,39.15147833,-77.20129833,No,No,No,No,No,No,No,No,No,No,MD,03 - Station Wagon,2012,TOYOTA,RAV4,RED,13-411,Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,,No
1215,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,I-370 WB  GREAT SENECA HWY,-77.21472667,39.10957,No,No,No,No,No,No,No,No,No,No,NC,02 - Automobile,2015,CHEVROLET,COLORADO LT TK,RED,13-409,Transportation Article,No,WHITE,M,RALEIGH,NC,NC,A - Marked Patrol,,No
1216,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,FIELDS RD  MAHOGONY DR,39.11549833,-77.20354333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,MER,C280 4D,GREEN DK,13-411,Transportation Article,No,WHITE,M,POOLESVILLE,MD,MD,A - Marked Patrol,,Yes
1217,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,DARNESTOWN RD  MAIN ST,39.10664667,-77.23399667,No,No,No,No,No,Yes,No,No,No,No,MD,06 - Heavy Duty Truck,2006,STER,ROLL ON OFF,WHITE,21-202,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
1218,00:00:00,MCP,Headquarters and Special Operations,GLASS ,SHADY GROVE RDMONT CO TRANSFER CNTR,39.12194833,-77.17250333,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2006,ISU,TK  DUMP,WHITE,61*,,No,WHITE,M,HIGHLAND,NY,NY,A - Marked Patrol,,No
1219,00:00:00,MCP,Headquarters and Special Operations,DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS OR FOG LIGHTS WHILE OPERATING WINDSHIELD WIPERS,NB 270 SO MIDDLEBROOK RD,39.17949167,-77.24015333,No,No,No,No,No,No,No,No,No,No,DC,01 - Motorcycle,2009,INFI,2D,SILVER,22-201.2,Transportation Article,No,WHITE,M,UNK,DC,DC,A - Marked Patrol,,No
1220,00:00:00,MCP,Headquarters and Special Operations,WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,8 WALKER AVE,39.14970167,-77.23386833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,DODG,STRATUS 4D,BLUE DARK,21-804,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
1221,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,LELAND ST  46TH,38.980805,-77.088915,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HONDA,4DR,BLACK,21-201,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
1222,00:00:00,MCP,Headquarters and Special Operations,TAILLIGHTS ,RANDOLPH RD  SHERWOOD FOREST DR,39.093255,-77.082425,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,LANDROVER,DISCOVERY,BLACK,56*,,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
1223,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,I270  JUST PRIOR TO FATHER HURLEY,39.20309667,-77.269065,No,No,No,No,No,No,No,No,No,No,MD,03 - Station Wagon,2006,FORD,EXPLORER,GRAY,21-801.1,Transportation Article,No,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol,,No
1224,00:00:00,MCP,Headquarters and Special Operations,PERSON DRIVING ON HWY. VEH. WITH VISIBLE BLUE LAMP,UNIVERSITY BLVD W  VEIRS MILL RD,39.04104,-77.05354,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HOND,ACCORD,SILVER,22-227,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
1227,00:00:00,MCP,Headquarters and Special Operations,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,9631 LOST KNIFE RD,-77.23412333,39.14997333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,LINCOLN,TK,BLACK,21-901.1,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
1228,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SB PINEY BRANCH RD FLOWER AVE,38.99292333,-77.00972833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,HONDA,ACCORD,BLACK,21-201,Transportation Article,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,,Yes
1229,00:00:00,MCP,Headquarters and Special Operations,DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,ICC WB PRIOR TO NORBECK,39.11059167,-77.05831167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995,MAZD,PROTEGE,GOLD,21-310,Transportation Article,No,WHITE,F,POOLESVILLE,MD,MD,A - Marked Patrol,,No
1230,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ROSEMARY CIRCLE,38.977865,-77.07869167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,MUST,BLUE,21-201,Transportation Article,No,WHITE,F,COLUMBIA,MD,MD,A - Marked Patrol,,No
1231,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,11405 COLUMBIA PIK,-76.98913,39.04439667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,HOND,ACC,GREEN,22-219,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
1232,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,OL495  355,39.01824833,-77.10107,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CHEV,EXPRESS VAN,WHITE,21-405,Transportation Article,No,WHITE,M,HYATTSVILLE,MD,MD,A - Marked Patrol,,Yes
1233,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,FREDERICK RD  PROFESSIONAL,39.16457,-77.22769,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,VAN,WHITE,21-204,Transportation Article,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,,No
1234,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,631 FREDERICK RD,NA,NA,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,MERCEDES,C300,GRAY,21-201,Transportation Article,No,ASIAN,M,LAUREL,MD,MD,A - Marked Patrol,,Yes
1236,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ROSEMARY CIRCLE,38.97787667,-77.079615,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,CADILAC,4DR,MAROON,21-201,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,,No
1237,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,GEORGIA AVENUE  RIPPLING BROOK DRIVE,39.07283167,-77.06496,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,VOLK,4S,GRAY,22-201.1,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,No
1238,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,SB I-270  CLARKSBURG ROAD,39.20801,-77.27465667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,CHEVROLET,VAN,WHITE,13-409,Transportation Article,No,WHITE,M,BUSKIRK,NY,NY,Q - Marked Laser,,Yes
1240,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEH. WO ADEQUATE REAR REG. PLATE ILLUMINATION,SNOUFFER SCHOOL ROAD  EARHART COURT,39.166875,-77.17209333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,AUDI,A4,WHITE,22-204,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,,No
1241,00:00:00,MCP,Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,DEMOCRACY BLVD AND FERNWOOD RD,-77.13469833,39.02091167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,DODG,4S,SILVER,16-303,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,Yes
1242,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,WARING STATION RDCLEMENTE MIDDLE SCHOOL,-77.24806333,39.16385667,No,No,No,No,No,No,No,No,No,No,NY,02 - Automobile,2004,VOLK,PASSAT,WHITE,21-801.1,Transportation Article,No,BLACK,F,GERMANTOWN,MD,NY,Q - Marked Laser,,No
1244,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,SB 270  QUINCE ORCHARD ROAD,39.152185,-77.22042,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,BMW,528I,GRAY,13-409,Transportation Article,No,WHITE,M,OLNEY,MD,MD,B - Unmarked Patrol,,Yes
1245,00:00:00,MCP,Headquarters and Special Operations,HOLDER OF LEARNERS PERMIT DRIVING WO REQ. SUPERVISION,RUSSELL AVE  MONTGOMERY VILLAGE AVE,39.15548833,-77.21047,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,DODG,STRATUS 4D,GOLD,16-105,Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,,No
1246,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,DEMOCRACY BLVDOLD GEORGETOWN ROAD,39.02395,-77.12758,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2005,MERCEDES,C240,BLUE DARK,21-801,Transportation Article,No,WHITE,F,ALEXANDRIA,VA,VA,A - Marked Patrol,,Yes
1247,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 30 MPH ZONE,FREDERICK RD AND SUMMIT AVE,39.14989833,-77.23364167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,KIA,SPORTAGE,SILVER,21-801.1,Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
1248,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,WB RANDOLPH RD  GLEN ALLAN AVE,39.093255,-77.082425,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,HONDA,ACCORD,TAN,13-411,Transportation Article,No,BLACK,M,LANDOVER HILLS,MD,MD,A - Marked Patrol,,No
1250,00:00:00,MCP,Headquarters and Special Operations,HOLDER OF LEARNERS PERMIT DRIVING WO REQ. SUPERVISION,NB I 270 PRIOR TO EXIT 8 ,39.107895,-77.18403833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,HONDA,ACCORD,TAN,16-105,Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
1251,00:00:00,MCP,Headquarters and Special Operations,PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,FALLS  270,39.07634333,-77.16195667,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,1997,UD DS,BOX TRUCK,WHITE,22-412.3,Transportation Article,No,WHITE,M,HALETHORPE,MD,MD,A - Marked Patrol,,No
1253,00:00:00,MCP,Headquarters and Special Operations,STOP LIGHTS ,GEORGIA AVE  QUEEN MARY DR,39.14748333,-77.06698667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,MITS,4S,WHITE,64*,,No,WHITE,M,ROCKVILLE,MD,MD,B - Unmarked Patrol,,No
1254,00:00:00,MCP,Headquarters and Special Operations,STOP LIGHTS ,MONTROSE RD  N FARM LN,39.05543667,-77.14785,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HONDA,CIVIC,WHITE,64*,,No,WHITE,M,ROCKVILLE,MD,MD,O - Foot Patrol,,No
1255,00:00:00,MCP,Headquarters and Special Operations,VEHICLE BRAKE SYSTEM,16101 FREDERICK RD,39.12200333,-77.17235,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007,FORD,DS,WHITE,50,,No,HISPANIC,M,COLLEGE PARK,MD,MD,A - Marked Patrol,,No
1256,00:00:00,MCP,Headquarters and Special Operations,TAILLIGHTS ,SAM EIG HWY  FIELDS RD,39.11652167,-77.2063,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,CHRY,SW,BLACK,56*,,No,WHITE,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,,No
1257,00:00:00,MCP,Headquarters and Special Operations,BACK-UP LAMP ,NEW HAMPSHIRE AVE NORWOOD,39.10653833,-77.002165,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2001,DODGE,RAM3500,WHITE,83*,,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,,No
1260,00:00:00,MCP,Headquarters and Special Operations,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,RANDOLPH ROADNEW HAMPSHIRE AVE,39.07541667,-77.00040667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CHEVY,IMPALA,WHITE,13-411,Transportation Article,No,BLACK,M,CEDAR GROVE,VA,VA,A - Marked Patrol,,Yes
1261,00:00:00,MCP,Headquarters and Special Operations,PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT,SB 29 AND STEWART,39.04355333,-76.99441667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BMW,4DR,SILVER,22-412.3,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
1262,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,WB BEL PRE DR AT SAINT HELEN CIRCLE,39.09099167,-77.0624,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,TOYOTA,COROLLA,GOLD,21-801.1,Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,R - Unmarked Laser,,No
1263,00:00:00,MCP,Headquarters and Special Operations,"SIDE MARKER 
LAMP ",AIRPARK RD AT MUNCASTER MILL RD,39.150385,-77.14505833,No,No,No,No,No,No,No,No,No,No,MD,25 - Utility Trailer,2005,HYDR,TRAILER,BLACK,80*,,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,,No
1264,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,SCENERY GOLDEN MEADOW,39.17841833,-77.231245,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,1993,FORD,TRUCK,RED,21-801.1,Transportation Article,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,,No
1265,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,RIDGE RD OAK DR,-77.21288,39.277505,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,NISS,TK,WHITE,21-202,Transportation Article,No,WHITE,M,FREDERICK,MD,MD,A - Marked Patrol,,No
1266,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,EAST WEST MEADOW,38.98723333,-77.07963,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,HONDA,VAN,SILVER,21-201,Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,,No
1267,00:00:00,MCP,Headquarters and Special Operations,PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,EB SHADY GROVE RD  355,39.122305,-77.17780667,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,NA,NONE,NONE,NA,21-203,Transportation Article,No,BLACK,M,BETHESDA,MD,MD,A - Marked Patrol,,No
